,UF,Area
0,MT,454231.6365999997
1,MS,206449.25790000023
2,SP,199738.32290000073
3,BA,191260.80750000014
4,PR,185907.05659999998
5,MG,147986.42159999974
6,TO,104959.96039999995
7,GO,103375.59150000004
8,RS,101292.76749999977
9,PA,89487.81489999992
10,PI,73780.72629999998
11,AM,54821.24140000002
12,MA,51122.04610000002
13,SC,41098.01309999995
14,RO,31931.780199999997
15,RJ,16148.269399999992
16,RR,14582.446599999997
17,AC,11622.186599999999
18,RN,8918.315900000003
19,CE,7599.410200000001
20,ES,6610.355900000005
21,PE,5782.260600000002
22,SE,2700.9805
23,PB,1508.6385999999998
24,DF,1401.1206000000004
25,AP,531.4933000000001
26,AL,349.90039999999993
